Tyler Perry's Why Did I Get Married?,2007
Barbershop 2: Back in Business,2004
I Can Do Bad All by Myself,2009
How Stella Got Her Groove Back,1998
Four Brothers,2005
Next Friday,2000
Lottery Ticket,2010
The Meteor Man,1993
Original Gangstas,1996
Strapped,1993
A Rage in Harlem,1991
School Daze,1988
Crooklyn,1994
Are We There Yet?,2005
Ghost Dad,1990
Def by Temptation,1990
Vampire in Brooklyn,1995
Johnson Family Vacation,2004
Love Don't Cost a Thing,2003
The Honeymooners,2005
Big Momma's House 2,2006
Nutty Professor II: The Klumps,2000
ATL,2006
Get Rich or Die Tryin',2005
State Property 2,2005
